Tarikh,kesPositifBaru,jumlahKesPositif,kesPUIBaru,jumlahKesPUI,kesPUINegatif,KesPUIPending,jumlahKesMati,jumlahTelahSembuhDiscaj
1/6/2020,0,552,37,7400,6837,11,17,508
2/6/2020,0,552,18,7418,6848,18,17,519
3/6/2020,0,552,14,7432,6874,6,17,520
4/6/2020,0,552,20,7452,6879,21,17,523
5/6/2020,1,553,16,7468,6896,19,17,523
6/6/2020,2,555,26,7494,6922,17,17,524
7/6/2020,0,555,7,7501,6944,2,17,525
8/6/2020,0,555,11,7512,6948,9,17,525
9/6/2020,1,556,62,7574,7014,4,17,525
10/6/2020,0,556,18,7592,7029,7,17,526
11/6/2020,0,556,20,7612,7050,6,17,531
12/6/2020,0,556,9,7621,7058,7,17,531
13/6/2020,0,556,14,7635,7072,7,17,533
14/6/2020,1,557,19,7655,7074,24,17,533
15/6/2020,0,557,18,7672,7107,8,17,534
16/6/2020,3,560,195,7867,7293,14,17,534
17/6/2020,1,561,17,7884,7312,11,17,534
18/6/2020,4,565,48,7932,7359,8,17,534
19/6/2020,1,566,38,7970,7401,3,17,535
20/6/2020,0,566,21,7991,7424,1,17,535
21/6/2020,3,539,18,8009,7436,4,17,535
22/6/2020,0,569,27,8036,7463,4,17,535
23/6/2020,0,569,20,8056,7483,4,17,535
24/6/2020,1,570,44,8100,7526,4,17,535
25/6/2020,0,570,31,8131,7558,3,17,537
26/6/2020,0,570,45,8176,7605,1,17,537
27/6/2020,0,570,9,8185,7609,6,17,537
28/6/2020,1,571,19,8204,7629,4,17,537
29/6/2020,0,571,20,8224,7652,1,17,537
30/6/2020,0,571,54,8278,7704,3,17,538
1/7/2020,0,571,32,8310,7729,10,17,544
2/7/2020,0,571,44,8354,7778,5,17,544
3/7/2020,0,571,22,8376,7903,2,17,545
4/7/2020,0,571,12,8388,7814,13,17,545
5/7/2020,0,571,6,8394,7818,5,17,546
6/7/2020,1,572,61,8455,7882,1,17,549
7/7/2020,0,572,58,8513,7934,7,17,551
8/7/2020,1,573,18,8531,7950,8,17,551
9/7/2020,0,573,20,8551,7971,7,17,551
10/7/2020,2,575,43,8594,8019,0,17,552
11/7/2020,2,577,13,8607,8028,2,18,552
12/7/2020,2,579,45,8652,8068,5,18,552
13/7/2020,1,580,12,8664,8082,2,18,552
14/7/2020,0,580,20,8684,8092,12,18,554
15/7/2020,3,583,22,8706,8105,18,18,554
16/7/2020,1,584,14,8720,8124,12,18,554
17/7/2020,10,584,23,8743,8147,2,18,554
18/7/2020,7,601,18,8761,8157,3,18,554
19/7/2020,6,607,19,8780,8168,5,18,554
20/7/2020,1,608,20,8800,8182,10,18,554
21/7/2020,11,619,14,8814,8189,6,18,556
22/7/2020,9,628,21,8835,8195,12,18,556
23/7/2020,4,632,18,8883,8248,3,18,556
24/7/2020,9,641,18,8871,8225,5,18,556
25/7/2020,8,649,18,8889,8227,13,18,561
26/7/2020,1,650,6,8895,8240,5,19,563
27/7/2020,0,650,11,8096,8254,2,19,563
28/7/2020,25,675,39,8945,8267,3,19,564
29/7/2020,2,677,9,8954,8274,3,19,565
30/7/2020,0,677,9,8963,8284,2,19,571
31/7/2020,1,678,8,8971,8289,4,19,579
1/8/2020,0,678,2,8973,8292,3,19,591
2/8/2020,0,678,10,8983,8297,8,19,594
3/8/2020,0,678,15,8998,8320,0,19,599
4/8/2020,0,678,4,9002,8321,3,19,607
5/8/2020,0,678,4,9006,8327,1,19,617
6/8/2020,0,678,33,9039,8355,6,19,621
7/8/2020,1,679,7,9046,8366,0,19,626
8/8/2020,1,680,13,9059,8375,4,19,644
9/8/2020,1,681,6,9065,8383,1,19,652
10/8/2020,0,681,34,9099,8417,1,19,656
11/8/2020,0,681,43,9142,8460,1,19,659
12/8/2020,0,681,12,9154,8473,0,19,659
13/8/2020,0,681,36,9190,8508,1,19,659
14/8/2020,1,682,20,9210,8526,2,19,659
15/8/2020,0,682,17,9227,8541,4,19,659
16/8/2020,0,682,21,9248,8564,2,19,659
17/8/2020,0,682,2,9250,8567,1,19,659
18/8/2020,0,682,22,9272,8589,1,19,660
19/8/2020,0,682,38,9310,8621,7,19,660
20/8/2020,4,686,17,9327,8637,4,19,661
21/8/2020,1,687,17,9344,8643,14,19,661
22/8/2020,1,688,3,9347,8653,6,19,662
23/8/2020,3,691,36,9383,8691,4,19,662
24/8/2020,5,696,5,9391,8690,5,19,662
25/8/2020,0,696,19,9410,8712,2,19,662
26/8/2020,0,696,13,9423,8725,2,19,662
27/8/2020,0,696,13,9436,8739,1,19,662
28/8/2020,1,697,11,9447,8750,0,19,662
29/8/2020,1,698,2,9449,8751,0,19,662
30/8/2020,1,699,5,9454,8753,2,19,663
31/8/2020,0,699,12,9466,8765,2,19,663
1/9/2020,0,699,24,9490,8791,0,19,663
2/9/2020,0,699,5,9495,8796,0,19,663
3/9/2020,0,699,2,9497,8798,0,19,663
4/9/2020,0,699,7,9504,8805,0,19,668
5/9/2020,0,699,21,9525,8822,4,19,668
6/9/2020,0,699,8,9533,8833,1,19,669
7/9/2020,0,699,3,9536,8836,1,19,674
8/9/2020,0,699,15,9551,8852,0,19,676
9/9/2020,1,700,6,9557,8857,0,19,676
