Tarikh,Kes sedang dirawat di hospital (SGH KUCHING),Kes sedang dirawat di hospital (HOSPITAL SIBU),Kes sedang dirawat di hospital (HOSPITAL BINTULU),Kes sedang dirawat di hospital (HOSPITAL MIRI),Kes sedang dirawat di hospital (HOSPITAL SUNGAI BULUH),Kes sedang dirawat di hospital (JUMLAH),Kes di Intensive Care Unit/ICU (SGH KUCHING),Kes di Intensive Care Unit/ICU (HOSPITAL SIBU),Kes di Intensive Care Unit/ICU (HOSPITAL BINTULU),Kes di Intensive Care Unit/ICU (HOSPITAL MIRI),Kes di Intensive Care Unit/ICU (HOSPITAL SUNGAI BULUH),Kes di Intensive Care Unit/ICU (JUMLAH),Kes yang memerlukan bantuan pernafasan (SGH KUCHING),Kes yang memerlukan bantuan pernafasan (HOSPITAL SIBU),Kes yang memerlukan bantuan pernafasan (HOSPITAL BINTULU),Kes yang memerlukan bantuan pernafasan (HOSPITAL MIRI),Kes yang memerlukan bantuan pernafasan (HOSPITAL SUNGAI BULUH),Kes yang memerlukan bantuan pernafasan (JUMLAH),Jumlah kes kematian (SGH KUCHING),Jumlah kes kematian (HOSPITAL SIBU),Jumlah kes kematian (HOSPITAL BINTULU),Jumlah kes kematian (HOSPITAL MIRI),Jumlah kes kematian (HOSPITAL SUNGAI BULUH),Jumlah kes kematian (JUMLAH),Kes telah sembuh dan discaj baru (SGH KUCHING),Kes telah sembuh dan discaj baru (HOSPITAL SIBU),Kes telah sembuh dan discaj baru (HOSPITAL BINTULU),Kes telah sembuh dan discaj baru (HOSPITAL MIRI),Kes telah sembuh dan discaj baru (HOSPITAL SUNGAI BULUH),Kes telah sembuh dan discaj baru (JUMLAH),Kes telah sembuh dan discaj kumulatif (SGH KUCHING),Kes telah sembuh dan discaj kumulatif (HOSPITAL SIBU),Kes telah sembuh dan discaj kumulatif (HOSPITAL BINTULU),Kes telah sembuh dan discaj kumulatif (HOSPITAL MIRI),Kes telah sembuh dan discaj kumulatif (HOSPITAL SUNGAI BULUH),Kes telah sembuh dan discaj kumulatif (JUMLAH),Kumulatif kemasukan semula ke hospital (SGH HOSPITAL),Kumulatif kemasukan semula ke hospital (HOSPITAL SIBU),Kumulatif kemasukan semula ke hospital (HOSPITAL BINTULU),Kumulatif kemasukan semula ke hospital (HOSPITAL MIRI),Kumulatif kemasukan semula ke hospital (HOSPITAL SUNGAI BULUH),Kumulatif kemasukan semula ke hospital (JUMLAH)
2020-06-01,23,3,1,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,17,0,0,0,0,0,0,437,28,12,31,0,508,9,8,2,0,0,19
2020-06-02,13,2,1,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,17,10,1,0,0,0,11,437,28,12,31,0,519,9,8,2,0,0,19
2020-06-03,12,2,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,17,1,0,0,0,0,1,448,29,12,31,0,520,9,8,2,0,0,19
2020-06-04,10,1,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,17,2,1,0,0,0,3,450,30,12,31,0,523,9,8,2,0,0,19
2020-06-05,11,1,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,17,2,1,0,0,0,3,450,30,12,31,0,523,9,8,2,0,0,19
2020-06-06,12,1,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,17,1,0,0,0,0,1,451,30,12,31,0,524,9,8,2,0,0,19
2020-06-07,12,0,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,17,0,1,0,0,0,1,451,31,12,31,0,525,9,8,2,0,0,19
2020-06-08,12,0,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,17,0,0,0,0,0,0,451,31,12,31,0,525,9,8,2,0,0,19
2020-06-09,13,0,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,17,0,0,0,0,0,0,451,31,12,31,0,525,9,8,2,0,0,19
2020-06-10,12,0,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,17,1,0,0,0,0,1,452,31,12,31,0,526,9,8,2,0,0,19
2020-06-11,8,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,17,4,0,1,0,0,5,456,31,13,31,0,531,9,8,2,0,0,19
2020-06-12,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,17,0,0,0,0,0,0,456,31,13,31,0,531,9,8,2,0,0,19
2020-06-13,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,17,2,0,0,0,0,2,458,31,13,31,0,533,9,8,2,0,0,19
2020-06-14,6,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,17,0,0,0,0,0,0,458,31,13,31,0,533,9,8,2,0,0,19
2020-06-15,5,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,17,1,0,0,0,0,1,459,31,13,31,0,534,9,8,2,0,0,19
2020-06-16,5,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,17,0,0,0,0,0,0,459,31,13,31,0,534,9,8,2,0,0,19
2020-06-17,5,0,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,17,0,0,0,0,0,0,459,31,13,31,0,534,9,8,2,0,0,19
2020-06-18,7,0,5,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,17,0,0,0,0,0,0,459,31,13,31,0,534,9,8,2,0,0,19
2020-06-19,8,0,6,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,17,1,0,0,0,0,1,460,31,13,31,0,535,9,8,2,0,0,19
2020-06-20,8,0,6,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,17,0,0,0,0,0,0,460,31,13,31,0,535,9,8,2,0,0,19
2020-06-21,8,0,9,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,17,0,0,0,0,0,0,460,31,13,31,0,535,9,8,2,0,0,19
2020-06-22,8,0,9,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,17,0,0,0,0,0,0,460,31,13,31,0,535,9,8,2,0,0,19
2020-06-23,8,0,9,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,17,0,0,0,0,0,0,460,31,13,31,0,535,9,8,2,0,0,19
2020-06-24,9,0,9,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,17,0,0,0,0,0,0,460,31,13,31,0,535,9,8,2,0,0,19
2020-06-25,7,0,9,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,17,2,0,0,0,0,2,462,31,13,31,0,537,9,8,2,0,0,19
2020-06-26,7,0,9,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,17,0,0,0,0,0,0,462,31,13,31,0,537,9,8,2,0,0,19
2020-06-27,7,0,9,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,17,0,0,0,0,0,0,462,31,13,31,0,537,9,8,2,0,0,19
2020-06-28,7,1,9,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,17,0,0,0,0,0,0,462,31,13,31,0,537,9,8,2,0,0,19
2020-06-29,7,1,9,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,17,0,0,0,0,0,0,462,31,13,31,0,537,9,8,2,0,0,19
2020-06-30,6,1,9,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,17,1,0,0,0,0,1,463,31,13,31,0,538,9,8,2,0,0,19
2020-07-01,5,1,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,17,1,0,5,0,0,6,464,31,18,31,0,544,9,8,2,0,0,19
2020-07-02,5,1,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,17,0,0,0,0,0,0,464,31,18,31,0,544,9,8,2,0,0,19
2020-07-03,4,1,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,17,1,0,0,0,0,1,465,31,18,31,0,545,9,8,2,0,0,19
2020-07-04,4,1,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,17,0,0,0,0,0,0,465,31,18,31,0,545,9,8,2,0,0,19
2020-07-05,3,1,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,17,1,0,0,0,0,1,466,31,18,31,0,546,9,8,2,0,0,19
2020-07-06,3,1,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,17,0,0,3,0,0,3,466,31,21,31,0,549,9,8,2,0,0,19
2020-07-07,2,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,17,1,0,1,0,0,2,467,31,22,31,0,551,9,8,2,0,0,19
2020-07-08,2,2,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,17,0,0,0,0,0,0,467,31,22,31,0,551,9,8,2,0,0,19
2020-07-09,2,2,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,17,0,0,0,0,0,0,467,31,22,31,0,551,9,8,2,0,0,19
2020-07-10,4,1,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,17,0,1,0,0,0,1,467,32,22,31,0,552,9,8,2,0,0,19
2020-07-11,5,1,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,2,0,18,0,0,0,0,0,0,467,32,22,31,0,552,9,8,2,0,0,19
2020-07-12,7,1,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,2,0,18,0,0,0,0,0,0,467,32,22,31,0,552,9,8,2,0,0,19
2020-07-13,7,1,1,0,0,9,0,0,1,0,0,1,0,0,0,0,0,0,16,0,0,2,0,18,0,0,0,0,0,0,467,32,22,31,0,552,9,8,2,0,0,19
2020-07-14,5,1,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,2,0,18,2,0,0,0,0,2,469,32,22,31,0,554,9,8,2,0,0,19
2020-07-15,8,1,2,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,2,0,18,0,0,0,0,0,0,469,32,22,31,0,554,9,8,2,0,0,19
2020-07-16,9,1,2,0,0,12,0,0,0,1,0,1,0,0,0,0,0,0,16,0,0,2,0,18,0,0,0,0,0,0,469,32,22,31,0,554,9,8,2,0,0,19
2020-07-17,17,1,4,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,2,0,18,0,0,0,0,0,0,469,32,22,31,0,554,9,8,2,0,0,19
2020-07-18,23,1,5,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,2,0,18,0,0,0,0,0,0,469,32,22,31,0,554,9,8,2,0,0,19
2020-07-19,29,1,5,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,2,0,18,0,0,0,0,0,0,469,32,22,31,0,554,9,8,2,0,0,19
2020-07-20,29,1,5,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,2,0,18,0,0,0,0,0,0,469,32,22,31,0,554,9,8,2,0,0,19
2020-07-21,40,0,4,0,1,45,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,2,0,18,0,1,1,0,0,2,469,33,23,31,0,556,9,8,2,0,0,19
2020-07-22,49,0,4,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,2,0,18,0,1,1,0,0,2,469,33,23,31,0,556,9,8,2,0,0,19
2020-07-23,53,0,4,0,1,58,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,2,0,18,0,1,1,0,0,2,469,33,23,31,0,556,9,8,2,0,0,19
2020-07-24,62,0,4,0,1,67,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,2,0,18,0,1,1,0,0,2,469,33,23,31,0,556,9,8,2,0,0,19
2020-07-25,65,0,4,0,1,70,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,2,0,18,5,0,0,0,0,5,474,33,23,31,0,561,9,8,2,0,0,19
2020-07-26,63,0,4,0,1,68,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,2,0,19,2,0,0,0,0,2,476,33,23,31,0,563,9,8,2,0,0,19
2020-07-27,63,0,4,0,1,68,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,2,0,19,0,0,0,0,0,0,476,33,23,31,0,563,9,8,2,0,0,19
