Tarikh,dirawatKCH,dirawatSIBU,dirawatBNTL,dirawatMIRI,dirawatSGB,dirawatJumlah,icuKCH,icuSIBU,icuBNTL,icuMIRI,icuSGB,icuJumlah,nafasKCH,nafasSIBU,nafasBNTL,nafasMIRI,nafasSGB,nafasJumlah,matiKCH,matiSIBU,matiBNTL,matiMIRI,matiSGB,matiJumlah,discajKCH,discajSIBU,discajBNTL,discajMIRI,discajSGB,discajJumlah,sdiscajKCH,sdiscajSIBU,sdiscajBNTL,sdiscajMIRI,sdiscajSGB,sdiscajJumlah,returnKCH,returnSIBU,returnSIBU,returnMIRI,returnSGB,returnJumlah
1/6/2020,23,3,1,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,17,0,0,0,0,0,0,437,28,12,31,0,508,9,8,2,0,0,19
2/6/2020,13,2,1,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,17,10,1,0,0,0,11,437,28,12,31,0,519,9,8,2,0,0,19
3/6/2020,12,2,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,17,1,0,0,0,0,1,448,29,12,31,0,520,9,8,2,0,0,19
4/6/2020,10,1,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,17,2,1,0,0,0,3,450,30,12,31,0,523,9,8,2,0,0,19
5/6/2020,11,1,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,17,2,1,0,0,0,3,450,30,12,31,0,523,9,8,2,0,0,19
6/6/2020,12,1,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,17,1,0,0,0,0,1,451,30,12,31,0,524,9,8,2,0,0,19
7/6/2020,12,0,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,17,0,1,0,0,0,1,451,31,12,31,0,525,9,8,2,0,0,19
8/6/2020,12,0,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,17,0,0,0,0,0,0,451,31,12,31,0,525,9,8,2,0,0,19
9/6/2020,13,0,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,17,0,0,0,0,0,0,451,31,12,31,0,525,9,8,2,0,0,19
10/6/2020,12,0,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,17,1,0,0,0,0,1,452,31,12,31,0,526,9,8,2,0,0,19
11/6/2020,8,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,17,4,0,1,0,0,5,456,31,13,31,0,531,9,8,2,0,0,19
12/6/2020,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,17,0,0,0,0,0,0,456,31,13,31,0,531,9,8,2,0,0,19
13/6/2020,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,17,2,0,0,0,0,2,458,31,13,31,0,533,9,8,2,0,0,19
14/6/2020,6,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,17,0,0,0,0,0,0,458,31,13,31,0,533,9,8,2,0,0,19
15/6/2020,5,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,17,1,0,0,0,0,1,459,31,13,31,0,534,9,8,2,0,0,19
16/6/2020,5,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,17,0,0,0,0,0,0,459,31,13,31,0,534,9,8,2,0,0,19
17/6/2020,5,0,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,17,0,0,0,0,0,0,459,31,13,31,0,534,9,8,2,0,0,19
18/6/2020,7,0,5,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,17,0,0,0,0,0,0,459,31,13,31,0,534,9,8,2,0,0,19
19/6/2020,8,0,6,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,17,1,0,0,0,0,1,460,31,13,31,0,535,9,8,2,0,0,19
20/6/2020,8,0,6,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,17,0,0,0,0,0,0,460,31,13,31,0,535,9,8,2,0,0,19
21/6/2020,8,0,9,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,17,0,0,0,0,0,0,460,31,13,31,0,535,9,8,2,0,0,19
22/6/2020,8,0,9,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,17,0,0,0,0,0,0,460,31,13,31,0,535,9,8,2,0,0,19
23/6/2020,8,0,9,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,17,0,0,0,0,0,0,460,31,13,31,0,535,9,8,2,0,0,19
24/6/2020,9,0,9,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,17,0,0,0,0,0,0,460,31,13,31,0,535,9,8,2,0,0,19
25/6/2020,7,0,9,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,17,2,0,0,0,0,2,462,31,13,31,0,537,9,8,2,0,0,19
26/6/2020,7,0,9,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,17,0,0,0,0,0,0,462,31,13,31,0,537,9,8,2,0,0,19
27/6/2020,7,0,9,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,17,0,0,0,0,0,0,462,31,13,31,0,537,9,8,2,0,0,19
28/6/2020,7,1,9,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,17,0,0,0,0,0,0,462,31,13,31,0,537,9,8,2,0,0,19
29/6/2020,7,1,9,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,17,0,0,0,0,0,0,462,31,13,31,0,537,9,8,2,0,0,19
30/6/2020,6,1,9,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,17,1,0,0,0,0,1,463,31,13,31,0,538,9,8,2,0,0,19
1/7/2020,5,1,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,17,1,0,5,0,0,6,464,31,18,31,0,544,9,8,2,0,0,19
2/7/2020,5,1,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,17,0,0,0,0,0,0,464,31,18,31,0,544,9,8,2,0,0,19
3/7/2020,4,1,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,17,1,0,0,0,0,1,465,31,18,31,0,545,9,8,2,0,0,19
4/7/2020,4,1,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,17,0,0,0,0,0,0,465,31,18,31,0,545,9,8,2,0,0,19
5/7/2020,3,1,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,17,1,0,0,0,0,1,466,31,18,31,0,546,9,8,2,0,0,19
6/7/2020,3,1,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,17,0,0,3,0,0,3,466,31,21,31,0,549,9,8,2,0,0,19
7/7/2020,2,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,17,1,0,1,0,0,2,467,31,22,31,0,551,9,8,2,0,0,19
8/7/2020,2,2,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,17,0,0,0,0,0,0,467,31,22,31,0,551,9,8,2,0,0,19
9/7/2020,2,2,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,17,0,0,0,0,0,0,467,31,22,31,0,551,9,8,2,0,0,19
10/7/2020,4,1,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,17,0,1,0,0,0,1,467,32,22,31,0,552,9,8,2,0,0,19
11/7/2020,5,1,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,2,0,18,0,0,0,0,0,0,467,32,22,31,0,552,9,8,2,0,0,19
12/7/2020,7,1,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,2,0,18,0,0,0,0,0,0,467,32,22,31,0,552,9,8,2,0,0,19
13/7/2020,7,1,1,0,0,9,0,0,1,0,0,1,0,0,0,0,0,0,16,0,0,2,0,18,0,0,0,0,0,0,467,32,22,31,0,552,9,8,2,0,0,19
14/7/2020,5,1,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,2,0,18,2,0,0,0,0,2,469,32,22,31,0,554,9,8,2,0,0,19
15/7/2020,8,1,2,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,2,0,18,0,0,0,0,0,0,469,32,22,31,0,554,9,8,2,0,0,19
16/7/2020,9,1,2,0,0,12,0,0,0,1,0,1,0,0,0,0,0,0,16,0,0,2,0,18,0,0,0,0,0,0,469,32,22,31,0,554,9,8,2,0,0,19
17/7/2020,17,1,4,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,2,0,18,0,0,0,0,0,0,469,32,22,31,0,554,9,8,2,0,0,19
